الدرجة,املؤهل العلمي,الحد ا ألدنى للخبرات العملية
ا ألولى,شها دة الدكتوراه,12 سنوات
الثالثة,درجة املاجستير,10 سنوات
الرابعة,"مؤهل جامعي أ و ما يعا دله أ و الدبلوم الذي تبلغ مدته الدراسية أ ربع
سنوات بعد الصف الثاني عشر",11 سنوات
السا دسة,دبلوم )3( سنوات بعد الصف الثاني عشر أ و ما يعا دله,8 سنوات
السابعة,دبلوم سنتين بعد الصف الثاني عشر أ و ما يعا دله,سنتان
التاسعة,دبلوم سنة واحدة بعد الصف الثاني عشر,سنتان
,,"الترقية الوظيفية للمعينين بهذا النظام تكون أ ربع ترقيات بحد أق�سى طوال مدة الخدمة.
ترقية حملة شها دات الدبلوم السنتين أ و ثالث سنوات بعد الثانوية العامة تكون إلى الدرجة الرابعة بحد أق�سى.
ترقية حملة مؤهل الدبلوم سنة واحدة بعد الثانوية العامة وحملة الثانوية العامة تكون إلى الدرجة الخامسة بحد أق�سى.
ترقية حملة شها دة ما دون الثانوية العامة تكون إلى الدرجة الثامنة بحد أق�سى .
فيمــا عــدا حملــة شــها دة الثانويــة العامــة ومــا دونهــا ا ذا كان املؤهــل العلمــي يتناســب مــع الوظيفــة املطلــوب شــغلها وكانــت مــدة الخبــرة أقــل
ً
مــن مــدة الخبــرة املطلوبــة يمكــن التعييــن وفقــا ملــا يلــي :-
•إ ذا كانــت مــدة الخبــرة تعــا دل نصــف مــدة الخبــرة املطلوبــة أ و أكثــر تخفــض درجــة التعييــن بمقــدا ر درجــة وظيفيــة ماعــدا حملــة مؤهــل
الدبلــوم ســنة واحــدرة تخفــض درجــة التعييــن درجــة واحــدة .
•إ ذا كانت مدة الخبرة أقل من نصف مدة الخبرة املطلوبة تخفض درجة التعيين بمقدا ر درجتين وظيفيتين .
•بالنســبة لحملــة مؤهــل الدبلــوم ســنة واحــدة فــإ ذا كانــت مــدة الخبــرة العمليــة أقــل مــن مــدة الخبــرة العمليــة املطلوبــة تخفــض درجــة
التعييــن بمقــدا ر درجــة واحــدة."
